PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS14366680,01/04/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS14636231,01/04/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS06853165,02/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/10/2019,0,0,
LS06853165,02/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/10/2019,0,0,
LS14532564,02/04/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/10/2019,50,0,
LS0755521A,03/04/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS07555468,05/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS07555468,05/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/10/2019,83,0,
LS14239956,07/04/2019,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,08/11/2019,0,0,
LS11540034,10/04/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,22/11/2019,0,0,
LS08455775,11/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS09935561,11/04/2019,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,21/11/2019,50,0,
LS12239230,12/04/2019,OATLAND GREEN CP - SHEEPSCAR                                ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,08/10/2019,83,0,
LS12146923,13/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/12/2019,0,75,
LS12146923,13/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,0,75,
LS12146923,13/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/12/2019,0,75,
LS07556915,20/04/2019,HUNSLET LANE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,11/10/2019,0,83,
LS07556915,20/04/2019,HUNSLET LANE CP - CITY,86 BEYOND THE BAY MARKINGS                        ,50,07/11/2019,0,83,
LS07557157,22/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/11/2019,0,83,
LS09142811,22/04/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,20/12/2019,0,0,
LS07557157,22/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,11/10/2019,0,83,
LS07131122,23/04/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS15332130,25/04/2019,KIRKSTALL RD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,22/11/2019,83,0,
LS06380857,25/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/10/2019,0,83,
LS06380857,25/04/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/11/2019,0,83,
LS06653891,26/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS06427804,28/04/2019,BURLEY ROAD CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,06/12/2019,83,0,
LS15603894,29/04/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS11541161,30/04/2019,QUARRY HILL C CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/11/2019,0,0,
LS12147992,02/05/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,08/11/2019,83,0,
LS07238807,02/05/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,11/10/2019,83,0,
LS11541365,03/05/2019,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,21/10/2019,0,0,
LS05154218,03/05/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/10/2019,83,0,
LS05154240,03/05/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS12240535,07/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/10/2019,0,83,
LS12240535,07/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/11/2019,0,83,
LS07132362,09/05/2019,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/10/2019,50,0,
LS05154433,10/05/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS06382477,10/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,14/10/2019,0,83,
LS06382477,10/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,07/11/2019,0,83,
LS14838440,11/05/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,01/11/2019,83,0,
LS15333880,11/05/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS14240977,12/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,15/11/2019,83,0,
LS07959831,13/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,08/11/2019,83,0,
LS11541897,14/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/10/2019,83,0,
LS07239785,15/05/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,13/12/2019,83,0,
LS14838746,15/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS05937940,29/05/2019,WILDERNESS CP - WETHERBY                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,31/10/2019,0,113,
LS01759545,30/05/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS07559742,30/05/2019,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,06/12/2019,83,0,
LS1437299A,30/05/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/10/2019,25,0,
LS07240398,31/05/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/12/2019,83,0,
LS1533549A,04/06/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS11772200,04/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,01/10/2019,25,0,
LS06541785,05/06/2019,HIGH STREET CP - BOSTON SPA                                 ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,06/12/2019,83,0,
LS05155050,08/06/2019,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/10/2019,50,0,
LS05155050,08/06/2019,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,29/10/2019,50,0,
LS05155050,08/06/2019,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,04/11/2019,50,0,
LS02465390,09/06/2019,HUNSLET LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,13/12/2019,83,0,
LS15713826,10/06/2019,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS05241072,11/06/2019,LIDGETT HILL CP - PUDSEY                                    ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,05/10/2019,83,0,
LS06748659,13/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,83,
LS07135950,13/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,83,
LS12243340,14/06/2019,OATLAND GREEN CP - SHEEPSCAR                                ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,20/12/2019,83,0,
LS1533662A,14/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,14/10/2019,75,0,
LS08547308,15/06/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/12/2019,83,0,
LS14843214,15/06/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,30/10/2019,75,0,
LS14843214,15/06/2019,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/11/2019,75,0,
LS05938692,16/06/2019,LEISURE CENTRE CP - PUDSEY                                  ,86 BEYOND THE BAY MARKINGS                        ,50,01/10/2019,75,0,
LS15337371,17/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,27/11/2019,25,0,
LS15337371,17/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/11/2019,25,0,
LS15337382,17/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS12243497,18/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/10/2019,0,0,
LS06656390,18/06/2019,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/11/2019,83,0,
LS06656390,18/06/2019,QUARRY HILL E CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,12/12/2019,83,0,
LS06543441,19/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,21/10/2019,83,0,
LS07136523,19/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,06/11/2019,0,0,
LS06543441,19/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/11/2019,83,0,
LS06543452,19/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,83,
LS05155629,20/06/2019,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,10/10/2019,113,0,
LS05155629,20/06/2019,CLUSTER OF NUTS CP - WETHERBY,85 PARKED IN A PERMIT BAY WITHOUT PERMIT,70,16/10/2019,113,0,
LS11773917,20/06/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/10/2019,83,0,
LS12243817,20/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,29/10/2019,50,0,
LS0515571A,20/06/2019,CLUSTER OF NUTS CP - WETHERBY,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/10/2019,83,0,
LS11773917,20/06/2019,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS02466338,24/06/2019,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/10/2019,0,83,
LS06749276,24/06/2019,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,24/12/2019,30,0,
LS14640308,24/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,31/10/2019,0,83,
LS14640319,24/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/12/2019,25,0,
LS14640319,24/06/2019,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,05/12/2019,25,0,
LS06749276,24/06/2019,WOODHOUSE LANE  CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,10/10/2019,30,0,
LS0524198A,25/06/2019,MEADOW LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,01/11/2019,0,75,
LS05775215,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,25,0,
LS0577526A,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,83,
LS05775306,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,0,
LS05775328,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS0524198A,25/06/2019,MEADOW LANE CP - CITY,73 PARKED WITHOUT PAYMENT,50,10/10/2019,0,75,
LS05775215,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,25/11/2019,25,0,
LS05775215,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,03/12/2019,25,0,
LS05775215,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,04/12/2019,25,0,
LS05775306,25/06/2019,WOODHOUSE LANE  CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,18/11/2019,0,0,
LS07137027,25/06/2019,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,83,0,
LS05775372,26/06/2019,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,10/10/2019,0,83,
LS05775383,26/06/2019,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,06/12/2019,128,0,
LS05775383,26/06/2019,INTERNATIONAL POOL CP - CITY,73 PARKED WITHOUT PAYMENT,50,10/10/2019,128,0,
LS0654431A,27/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,13/11/2019,25,0,
LS06544320,27/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,13/12/2019,83,0,
LS1571483A,27/06/2019,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,10/10/2019,0,83,
LS0654431A,27/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,12/11/2019,25,0,
LS06544320,27/06/2019,CASTLE ST CP - CITY,73 PARKED WITHOUT PAYMENT,50,10/10/2019,83,0,
LS05155899,28/06/2019,LEISURE CENTRE CP - PUDSEY                                  ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,10/10/2019,0,0,
